threshold	net_benefit_model	net_benefit_treat_all	net_benefit_treat_none	variant
0.05	0.0037593984962406013	-0.021101139946640802	0.0	null_inflammation
0.1	-0.0010240655401945725	-0.07782898105478751	0.0	null_inflammation
0.15000000000000002	0.0	-0.1412306858227162	0.0	null_inflammation
0.2	0.0	-0.21255760368663593	0.0	null_inflammation
0.25	0.0	-0.293394777265745	0.0	null_inflammation
0.3	0.0	-0.38578011849901256	0.0	null_inflammation
0.35000000000000003	0.0	-0.4923785891527828	0.0	null_inflammation
0.4	0.0	-0.6167434715821812	0.0	null_inflammation
0.45	0.0	-0.7637201508169249	0.0	null_inflammation
0.5	0.0	-0.9400921658986174	0.0	null_inflammation
0.55	0.0	-1.1556579621095753	0.0	null_inflammation
0.6000000000000001	0.0	-1.4251152073732725	0.0	null_inflammation
0.6500000000000001	0.0	-1.7715602369980261	0.0	null_inflammation
0.7000000000000001	0.0	-2.233486943164363	0.0	null_inflammation
0.7500000000000001	0.0	-2.8801843317972367	0.0	null_inflammation
0.8	0.0	-3.8502304147465445	0.0	null_inflammation
0.8500000000000001	0.0	-5.466973886328729	0.0	null_inflammation
0.9000000000000001	0.0	-8.700460829493101	0.0	null_inflammation
