GENE	RHO
DHX34	1
FPGS	1
LOC100506699	1
PADI4	1
THAP7	1
ACSL6	0.976190476190476
CCIN	0.976190476190476
CIB2	0.976190476190476
CSPG5	0.976190476190476
EVX1	0.976190476190476
GGTLC1	0.976190476190476
KCNV1	0.976190476190476
KLRC3	0.976190476190476
MYL4	0.976190476190476
NR2E3	0.976190476190476
PCF11	0.976190476190476
PLA2G4B///JMJD7-PLA2G4B	0.976190476190476
PLCL1	0.976190476190476
PODNL1	0.976190476190476
PRB1	0.976190476190476
PSG7	0.976190476190476
RIN1	0.976190476190476
SAA2-SAA4///SAA4	0.976190476190476
SERPINB13	0.976190476190476
TIE1	0.976190476190476
TSSK1B	0.976190476190476
AGAP2	0.952380952380953
ALDOAP2	0.952380952380953
APBA1	0.952380952380953
CACNB1	0.952380952380953
CCR8	0.952380952380953
CSF2RB	0.952380952380953
ERCC2	0.952380952380953
FBXW4P1	0.952380952380953
FGF4	0.952380952380953
FXYD2	0.952380952380953
GDF10	0.952380952380953
KIF22	0.952380952380953
LINC00474	0.952380952380953
LRP4	0.952380952380953
MASP1	0.952380952380953
MDFI	0.952380952380953
MYO15A	0.952380952380953
MYO7B	0.952380952380953
MYO9B	0.952380952380953
NTN3	0.952380952380953
OR2J2	0.952380952380953
PDE6G	0.952380952380953
PIGO	0.952380952380953
RAG1	0.952380952380953
SCRG1	0.952380952380953
SLC2A5	0.952380952380953
SLC7A4	0.952380952380953
SNTG1	0.952380952380953
ST8SIA3	0.952380952380953
STMN2	0.952380952380953
TNFRSF11B	0.952380952380953
TSNAXIP1	0.952380952380953
ZNF419	0.952380952380953
ZNRF4	0.952380952380953
ZSCAN2	0.952380952380953
ACRV1	0.928571428571429
ADAM11	0.928571428571429
ADORA1	0.928571428571429
ALDH1L1	0.928571428571429
CAPN5	0.928571428571429
CDH7	0.928571428571429
CMA1	0.928571428571429
CNGA3	0.928571428571429
CYP3A43	0.928571428571429
CYTL1	0.928571428571429
DMWD	0.928571428571429
GABARAPL1	0.928571428571429
H2AFJ	0.928571428571429
HAND1	0.928571428571429
HLA-DPA2	0.928571428571429
HOXB13	0.928571428571429
IDH3G	0.928571428571429
LOC101927144///ACYP2	0.928571428571429
LOC101927181	0.928571428571429
MAGEA10	0.928571428571429
MYH4	0.928571428571429
MYL10	0.928571428571429
NAT9	0.928571428571429
NFKBIB	0.928571428571429
PDE1B	0.928571428571429
POU5F1P3	0.928571428571429
POU6F2	0.928571428571429
RBBP9	0.928571428571429
RPS6KA2	0.928571428571429
SCRT1	0.928571428571429
SLC22A6	0.928571428571429
SLC25A23	0.928571428571429
SLC35E1	0.928571428571429
SLC6A8	0.928571428571429
TLX1	0.928571428571429
TNR	0.928571428571429
TTC22	0.928571428571429
UBBP2	0.928571428571429
UNC45A	0.928571428571429
USH1C	0.928571428571429
VPS16	0.928571428571429
VPS53	0.928571428571429
ACADL	0.904761904761905
ADD2	0.904761904761905
APBA2	0.904761904761905
ATG4B	0.904761904761905
ATOH1	0.904761904761905
ATXN3L	0.904761904761905
BAGE	0.904761904761905
BCORL1	0.904761904761905
BMS1P21///MBL1P	0.904761904761905
C16ORF72	0.904761904761905
C17ORF53	0.904761904761905
CACNA1S	0.904761904761905
CCDC134	0.904761904761905
CD80	0.904761904761905
CIDEC	0.904761904761905
CRHR2	0.904761904761905
CRISP1	0.904761904761905
CRTAC1	0.904761904761905
CRX	0.904761904761905
CT62	0.904761904761905
CTSE	0.904761904761905
DENND2A	0.904761904761905
DPP6	0.904761904761905
DRD2	0.904761904761905
DUX4L24///DBET///LOC100291626///DUX4///LOC100288289///DUX4L2///DUX4L3///DUX4L5///DUX4L6///DUX4L7///LOC652301///DUX4L4///DUX4L8///DUX4L1	0.904761904761905
EYA1	0.904761904761905
FASLG	0.904761904761905
FCGBP	0.904761904761905
FOXB1	0.904761904761905
GAGE12F///GAGE12B///GAGE12G///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4	0.904761904761905
GAPDHS	0.904761904761905
GDAP1	0.904761904761905
GDNF	0.904761904761905
GJC2	0.904761904761905
GNG3	0.904761904761905
GP2	0.904761904761905
GPR68	0.904761904761905
HOXA10	0.904761904761905
HPN	0.904761904761905
HPR///HP	0.904761904761905
HRC	0.904761904761905
IGSF1	0.904761904761905
IL1RAPL2	0.904761904761905
JAKMIP2	0.904761904761905
KCNJ1	0.904761904761905
KCNK15	0.904761904761905
KCNK7	0.904761904761905
KIF3C	0.904761904761905
KIR3DL3	0.904761904761905
KLK1	0.904761904761905
KRT9	0.904761904761905
LGALS4	0.904761904761905
LINC00950	0.904761904761905
LOC729966///PDE4C	0.904761904761905
